DATE,ConsumerPriceIndex,RentPrimaryResidence,OwnerEquivalentRent,DelinquencyCreditCLoans,FedFundsEffectiveRate_MonthlyAve,MULTJobHolders_Pri_FT_Sec_PT,MULTJobHolders_Pri_Sec_BothFT,MULTJobHolders_Pri_Sec_BothPT,MULTJobHolders_Perc_ofEmployed_M,MULTJobHoldersPerc_ofEmployed_W,MULTJobHoldersPerc_ofEmployed
1994-01-01,146.3,152.2,163.1,3.6,3.0506451612903223,3906,245,1403,5.6,5.6,5.8
1994-04-01,147.2,153.3,164.7,3.29,3.555,4269,250,1580,5.9,6.2,6.0
1994-07-01,148.4,154.0,165.6,3.25,4.256129032258065,4023,284,1529,5.7,5.8,5.9
1994-10-01,149.4,155.1,167.6,3.29,4.76,4388,209,1776,6.2,6.1,5.9
1995-01-01,150.5,156.1,168.6,3.48,5.52741935483871,4288,233,1533,5.8,5.8,6.0
1995-04-01,151.8,157.0,170.0,3.7,6.047333333333333,4490,241,1700,6.1,6.3,6.2
1995-07-01,152.6,158.0,171.5,3.85,5.851935483870968,4476,302,1626,6.3,5.9,6.3
1995-10-01,153.5,158.8,173.2,3.95,5.756129032258065,4505,291,1860,6.4,6.3,6.1
1996-01-01,154.7,159.9,174.6,4.04,5.564838709677419,4013,239,1605,5.7,5.9,6.0
1996-04-01,156.1,160.9,175.7,4.27,5.2236666666666665,4250,241,1690,6.1,5.8,6.0
1996-07-01,157.0,162.3,177.0,4.46,5.396451612903226,4201,281,1675,6.0,5.9,6.1
1996-10-01,158.2,163.2,178.2,4.6,5.238064516129032,4532,277,1878,6.3,6.7,6.3
1997-01-01,159.4,164.3,179.4,4.7,5.2545161290322575,4270,210,1638,6.0,6.0,6.1
1997-04-01,159.9,165.6,180.7,4.73,5.5073333333333325,4445,221,1826,6.0,6.3,6.2
1997-07-01,160.4,166.9,182.2,4.7,5.5212903225806444,4514,258,1608,6.1,6.1,6.2
1997-10-01,161.5,168.2,183.4,4.81,5.4961290322580645,4584,260,1721,6.2,6.3,6.0
1998-01-01,162.0,169.4,185.0,4.76,5.55741935483871,4236,269,1644,5.8,6.2,6.1
1998-04-01,162.2,170.8,186.5,4.76,5.445333333333333,4523,266,1610,6.0,6.2,6.1
1998-07-01,163.2,172.3,188.1,4.72,5.5358064516129035,4253,308,1563,5.7,5.8,5.8
1998-10-01,163.9,173.9,189.7,4.74,5.070967741935484,4755,278,1675,6.0,6.5,6.1
1999-01-01,164.7,175.2,190.9,4.66,4.63258064516129,4342,326,1597,5.9,6.1,6.1
1999-04-01,165.9,176.4,192.0,4.58,4.736333333333333,4269,282,1615,5.7,5.9,5.8
1999-07-01,166.7,177.6,193.1,4.6,4.994193548387097,4101,300,1735,5.7,5.6,5.7
1999-10-01,168.1,178.8,194.2,4.55,5.2,4462,308,1672,5.9,6.0,5.8
2000-01-01,169.3,180.9,196.0,4.43,5.448387096774193,4324,250,1643,5.7,5.7,5.8
2000-04-01,170.9,182.3,197.3,4.51,6.019666666666667,4287,351,1599,5.6,5.8,5.7
2000-07-01,172.7,184.1,198.8,4.53,6.5445161290322575,4071,418,1586,5.4,5.6,5.6
2000-10-01,173.9,186.1,200.5,4.57,6.509354838709677,4224,293,1599,5.4,5.6,5.4
2001-01-01,175.6,188.0,202.2,4.81,5.975806451612903,4041,255,1485,5.1,5.5,5.3
2001-04-01,176.4,190.2,204.3,4.94,4.802,4164,280,1575,5.3,5.4,5.4
2001-07-01,177.4,192.5,206.5,5.0,3.769032258064516,4054,329,1573,5.3,5.6,5.5
2001-10-01,177.6,194.7,209.0,4.69,2.485161290322581,3751,240,1650,5.1,5.4,5.2
2002-01-01,177.7,196.8,211.4,4.94,1.7296774193548388,3881,226,1522,5.2,5.3,5.3
2002-04-01,179.3,198.5,213.4,4.78,1.753,4036,299,1543,5.3,5.5,5.5
2002-07-01,180.0,200.0,215.1,4.89,1.729032258064516,3808,321,1572,5.1,5.5,5.3
2002-10-01,181.2,201.3,216.7,4.84,1.7548387096774194,3893,264,1738,5.1,5.6,5.2
2003-01-01,182.6,203.2,218.3,4.68,1.2351612903225806,3844,231,1600,4.9,5.7,5.3
2003-04-01,183.2,204.5,219.0,4.53,1.258,3758,279,1652,5.2,5.3,5.3
2003-07-01,183.7,205.8,219.8,4.24,1.011290322580645,3620,324,1614,5.2,5.4,5.3
2003-10-01,184.9,206.9,221.3,4.43,1.01,3849,235,1840,5.1,5.8,5.3
2004-01-01,186.3,208.1,222.4,4.21,0.9970967741935484,3722,227,1681,5.0,5.5,5.3
2004-04-01,187.4,209.7,224.0,4.15,1.004,3869,275,1633,5.0,5.5,5.3
2004-07-01,189.1,211.4,225.3,4.07,1.2635483870967743,3829,315,1711,5.1,5.6,5.4
2004-10-01,190.8,212.8,226.4,4.03,1.760967741935484,4196,302,1720,5.5,5.9,5.6
2005-01-01,191.6,214.3,227.7,3.7,2.2793548387096774,3782,284,1612,5.0,5.5,5.3
2005-04-01,193.7,216.0,229.0,3.67,2.785,3849,301,1708,5.0,5.6,5.3
2005-07-01,194.9,217.7,230.3,3.9,3.2625806451612904,3964,329,1662,5.1,5.5,5.3
2005-10-01,199.1,219.3,231.6,3.54,3.779354838709677,4153,288,1704,5.2,5.7,5.3
2006-01-01,199.3,220.8,233.4,3.86,4.285161290322581,3953,289,1682,5.0,5.5,5.3
2006-04-01,200.7,222.9,235.8,4.13,4.790333333333333,3894,259,1716,4.9,5.4,5.1
2006-07-01,202.9,225.4,238.9,4.12,5.235161290322581,3859,313,1619,4.9,5.4,5.2
